Team_ID,Season_ID,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18,2023,Minnesota Timberwolves*,82,241.8,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,115.8
18,2024,Minnesota Timberwolves*,82,241.5,41.3,85.0,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113.0
18,2025,Minnesota Timberwolves*,82,241.8,41.0,87.6,0.468,15.0,39.9,0.377,26.0,47.7,0.545,17.2,21.8,0.789,11.1,33.2,44.3,26.1,8.0,5.0,14.5,18.3,114.3
18,2026,Minnesota Timberwolves*,82,241.2,42.6,88.5,0.481,13.8,37.2,0.37,28.9,51.4,0.562,19.0,25.3,0.752,11.1,33.0,44.1,26.1,8.7,5.8,14.8,21.2,118.0
19,2021,New Orleans Pelicans,72,242.1,42.5,89.1,0.477,10.6,30.4,0.348,31.9,58.6,0.544,19.0,26.1,0.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6
19,2022,New Orleans Pelicans*,82,240.9,40.2,88.0,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3
19,2023,New Orleans Pelicans,82,242.1,42.0,87.6,0.48,11.0,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4
19,2024,New Orleans Pelicans*,82,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30.0,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44.0,27.0,8.3,4.6,13.0,18.4,115.1
19,2025,New Orleans Pelicans,82,240.9,40.6,89.9,0.452,12.0,34.6,0.347,28.6,55.2,0.518,16.5,21.9,0.754,12.1,31.5,43.6,25.8,8.5,5.2,14.6,18.3,109.8
19,2026,New Orleans Pelicans,82,241.5,42.1,90.5,0.466,11.1,32.1,0.347,31.0,58.4,0.531,20.1,25.7,0.784,12.2,31.7,43.9,25.1,8.9,5.2,14.2,19.9,115.5
